UNITID,AWLEVELC,CSTOTLT,YEAR
105206,2,270,2019
105206,3,322,2019
105215,2,533,2019
105297,1,17,2019
105297,2,2,2019
105297,3,122,2019
105297,5,41,2019
105330,1,453,2019
105330,2,51,2019
105330,5,5975,2019
105330,7,1248,2019
105330,9,194,2019
105330,10,129,2019
105349,1,355,2019
105349,2,85,2019
105349,3,179,2019
105367,5,122,2019
105367,7,117,2019
105428,1,203,2019
105428,2,801,2019
105428,3,1035,2019
105525,1,1185,2019
105525,2,1753,2019
105525,3,2102,2019
105534,1,207,2019
105534,2,389,2019
105534,3,419,2019
105534,5,332,2019
105543,1,91,2019
105543,2,266,2019
105543,3,110,2019
105589,5,104,2019
105589,7,86,2019
105589,9,9,2019
105589,10,16,2019
105659,1,131,2019
105659,2,497,2019
105659,3,46,2019
105668,1,2554,2019
105668,2,881,2019
105668,3,669,2019
105677,1,34,2019
105747,1,86,2019
105747,2,576,2019
105747,3,841,2019
105792,1,63,2019
105792,2,339,2019
105792,3,371,2019
105899,3,2,2019
105899,5,137,2019
106041,2,240,2019
106041,3,830,2019
106111,1,1,2019
106111,2,42,2019
106148,1,719,2019
106148,2,342,2019
106148,3,534,2019
106245,1,25,2019
106245,2,5,2019
106245,3,400,2019
106245,5,1260,2019
106245,7,519,2019
106245,9,160,2019
106245,10,140,2019
106263,2,1,2019
106263,3,56,2019
106263,5,245,2019
106263,7,224,2019
106263,9,327,2019
106263,10,38,2019
106306,3,18,2019
106306,5,22,2019
106315,1,51,2019
106315,2,15,2019
106324,1,4,2019
106324,2,11,2019
106342,5,124,2019
106351,1,9,2019
106351,2,26,2019
106360,2,15,2019
106397,1,5,2019
106397,5,4834,2019
106397,7,1102,2019
106397,9,331,2019
106397,10,198,2019
106412,3,3,2019
106412,5,433,2019
106412,7,25,2019
106412,9,1,2019
106449,1,270,2019
106449,2,477,2019
106449,3,527,2019
106458,1,9,2019
106458,3,539,2019
106458,5,1805,2019
106458,7,1908,2019
106458,9,65,2019
106458,10,637,2019
106467,1,896,2019
106467,2,230,2019
106467,3,1022,2019
106467,5,1281,2019
106467,7,294,2019
106467,9,21,2019
106467,10,50,2019
106485,1,288,2019
106485,2,153,2019
106485,3,379,2019
106485,5,429,2019
106485,7,135,2019
106494,1,1,2019
106494,2,18,2019
106546,2,152,2019
106546,3,265,2019
106625,1,227,2019
106625,2,110,2019
106625,3,199,2019
106704,3,71,2019
106704,5,1741,2019
106704,7,528,2019
106704,9,66,2019
106704,10,52,2019
106713,3,9,2019
106713,5,124,2019
106795,1,173,2019
106795,2,225,2019
106795,3,129,2019
106810,3,10,2019
106810,5,14,2019
106883,1,125,2019
106883,2,230,2019
106883,3,117,2019
106892,1,219,2019
106908,1,5,2019
106908,2,218,2019
106980,1,101,2019
106980,2,251,2019
106980,3,296,2019
106999,1,239,2019
106999,2,125,2019
106999,3,202,2019
107044,5,841,2019
107044,7,278,2019
107044,9,89,2019
107071,1,9,2019
107071,3,8,2019
107071,5,534,2019
107071,7,139,2019
107071,10,43,2019
107080,5,310,2019
107080,7,5,2019
107099,1,2,2019
107099,2,15,2019
107123,3,37,2019
107141,5,437,2019
107141,7,207,2019
107220,1,38,2019
107220,2,112,2019
107293,1,18,2019
107293,2,16,2019
107318,1,265,2019
107318,2,101,2019
107318,3,126,2019
107327,1,163,2019
107327,2,129,2019
107327,3,164,2019
107442,2,21,2019
107460,1,212,2019
107460,2,117,2019
107460,3,276,2019
107488,1,37,2019
107488,2,117,2019
107512,3,16,2019
107512,5,321,2019
107521,1,301,2019
107521,2,166,2019
107521,3,108,2019
107549,1,195,2019
107549,2,263,2019
107549,3,183,2019
107558,5,147,2019
107585,1,92,2019
107585,2,439,2019
107585,3,386,2019
107600,5,81,2019
107619,1,217,2019
107619,2,87,2019
107619,3,131,2019
107637,1,86,2019
107637,2,116,2019
107637,3,164,2019
107655,2,18,2019
107664,1,243,2019
107664,2,502,2019
107664,3,725,2019
107725,1,284,2019
107725,2,269,2019
107725,3,225,2019
107743,1,96,2019
107743,2,75,2019
107743,3,129,2019
107789,2,65,2019
107831,1,4,2019
107831,2,26,2019
107840,3,36,2019
107877,3,1,2019
107877,5,71,2019
107877,7,5,2019
107974,1,215,2019
107974,2,312,2019
107974,3,162,2019
107983,3,375,2019
107983,5,481,2019
107983,7,372,2019
107983,10,8,2019
107992,1,408,2019
107992,2,278,2019
107992,3,136,2019
108065,2,5,2019
108092,1,291,2019
108092,2,129,2019
108092,3,280,2019
108092,5,826,2019
108092,7,5,2019
108232,3,152,2019
108232,5,963,2019
108232,7,1256,2019
108269,7,12,2019
108348,2,37,2019
108649,1,44,2019
108649,2,37,2019
108667,1,38,2019
108667,2,346,2019
108667,3,282,2019
108807,1,502,2019
108807,2,699,2019
108807,3,1065,2019
108852,2,23,2019
108852,3,128,2019
108861,7,8,2019
108861,9,4,2019
108870,7,114,2019
108870,10,9,2019
108977,1,5,2019
108977,2,59,2019
109040,1,97,2019
109040,2,590,2019
109040,3,116,2019
109086,1,53,2019
109086,7,13,2019
109208,1,1434,2019
109208,2,1022,2019
109208,3,2042,2019
109350,1,337,2019
109350,2,896,2019
109350,3,1365,2019
109350,5,9,2019
109651,5,439,2019
109651,7,67,2019
109721,2,259,2019
109730,1,102,2019
109785,1,1,2019
109785,5,1622,2019
109785,7,1229,2019
109785,9,137,2019
109785,10,231,2019
109819,1,865,2019
109819,2,1626,2019
109819,3,1909,2019
109819,5,12,2019
109907,1,87,2019
109907,3,403,2019
109934,2,108,2019
110060,1,3,2019
110060,5,41,2019
110060,7,36,2019
110097,5,898,2019
110097,7,398,2019
110097,9,67,2019
110097,10,39,2019
110194,2,15,2019
110219,2,192,2019
110219,3,250,2019
110219,5,62,2019
110219,7,7,2019
110246,1,848,2019
110246,2,395,2019
110246,3,1219,2019
110316,5,39,2019
110316,7,234,2019
110316,9,118,2019
110316,10,3,2019
110334,1,190,2019
110334,2,122,2019
110334,3,1140,2019
110361,5,1618,2019
110361,7,1110,2019
110361,9,17,2019
110370,5,294,2019
110370,7,189,2019
110398,7,37,2019
110398,9,309,2019
110404,5,241,2019
110404,7,139,2019
110404,9,207,2019
110413,5,797,2019
110413,7,505,2019
110413,9,26,2019
110413,10,7,2019
110422,5,5151,2019
110422,7,530,2019
110422,10,3,2019
110468,1,364,2019
110468,2,71,2019
110468,5,67,2019
110468,7,710,2019
110468,9,308,2019
110468,10,73,2019
110486,5,2129,2019
110486,7,418,2019
110486,9,1,2019
110495,5,2299,2019
110495,7,295,2019
110495,9,5,2019
110510,5,4252,2019
110510,7,763,2019
110510,9,17,2019
110529,5,4796,2019
110529,7,375,2019
110529,9,14,2019
110538,5,4184,2019
110538,7,275,2019
110547,5,3165,2019
110547,7,768,2019
110556,5,4849,2019
110556,7,932,2019
110556,9,96,2019
110556,10,11,2019
110565,5,9661,2019
110565,7,1867,2019
110565,9,57,2019
110565,10,88,2019
110574,5,3151,2019
110574,7,1150,2019
110574,9,3,2019
110583,5,8572,2019
110583,7,1817,2019
110583,9,47,2019
110592,5,5739,2019
110592,7,1211,2019
110592,9,17,2019
110592,10,125,2019
110608,5,8866,2019
110608,7,1695,2019
110608,9,36,2019
110608,10,141,2019
110617,5,7310,2019
110617,7,788,2019
110617,9,48,2019
110617,10,51,2019
110635,5,8506,2019
110635,7,3238,2019
110635,9,1272,2019
110635,10,152,2019
110644,5,7773,2019
110644,7,1288,2019
110644,9,929,2019
110644,10,11,2019
110653,5,7549,2019
110653,7,1618,2019
110653,9,657,2019
110653,10,125,2019
110662,5,8651,2019
110662,7,3550,2019
110662,9,1309,2019
110662,10,1,2019
110671,5,4496,2019
110671,7,706,2019
110671,9,332,2019
110680,5,7609,2019
110680,7,1965,2019
110680,9,710,2019
110699,7,301,2019
110699,9,563,2019
110699,10,49,2019
110705,5,5838,2019
110705,7,541,2019
110705,9,327,2019
110705,10,74,2019
110714,5,4295,2019
110714,7,430,2019
110714,9,192,2019
110714,10,10,2019
110778,5,4,2019
110778,7,349,2019
110778,9,13,2019
110875,1,39,2019
110875,2,10,2019
110918,3,1,2019
111045,7,11,2019
111045,9,3,2019
111054,1,26,2019
111054,2,91,2019
111081,5,219,2019
111081,7,198,2019
111188,5,256,2019
111188,7,17,2019
111391,7,100,2019
111391,9,211,2019
111434,1,125,2019
111434,2,127,2019
111434,3,394,2019
111461,1,547,2019
111461,2,1012,2019
111461,3,2045,2019
111513,1,97,2019
111513,2,49,2019
111638,3,60,2019
111708,2,102,2019
111717,1,24,2019
111717,2,174,2019
111726,1,68,2019
111726,2,164,2019
111744,1,29,2019
111744,2,77,2019
111762,1,43,2019
111762,2,21,2019
111799,1,10,2019
111799,2,115,2019
111887,1,1812,2019
111887,2,261,2019
111887,3,1912,2019
111896,1,108,2019
111896,2,108,2019
111896,3,294,2019
111920,1,244,2019
111920,2,502,2019
111920,3,1005,2019
111939,1,338,2019
111939,2,1340,2019
111939,3,2311,2019
111948,1,16,2019
111948,5,1534,2019
111948,7,577,2019
111948,9,348,2019
111966,3,28,2019
111966,5,24,2019
111966,7,207,2019
111966,10,44,2019
112075,5,544,2019
112075,7,1242,2019
112075,9,24,2019
112075,10,26,2019
112084,3,5,2019
112084,5,140,2019
112084,7,61,2019
112084,10,3,2019
112127,7,22,2019
112127,10,9,2019
112172,1,543,2019
112172,2,1348,2019
112172,3,1357,2019
112181,1,36,2019
112181,2,39,2019
112190,1,1210,2019
112190,2,701,2019
112190,3,1298,2019
112251,7,348,2019
112251,9,154,2019
112251,10,37,2019
112260,5,327,2019
112260,7,12,2019
112288,1,209,2019
112288,2,3,2019
112367,1,293,2019
112367,2,52,2019
112385,1,603,2019
112385,2,73,2019
112385,3,1461,2019
112394,5,115,2019
112455,1,35,2019
112455,2,22,2019
112525,7,234,2019
112525,9,828,2019
112525,10,41,2019
112561,1,101,2019
112561,2,20,2019
112561,3,211,2019
112570,3,9,2019
112570,5,86,2019
112686,1,91,2019
112686,2,91,2019
112686,3,497,2019
112826,1,327,2019
112826,2,60,2019
112826,3,586,2019
113096,1,215,2019
113096,2,80,2019
113096,3,831,2019
113111,1,270,2019
113111,2,289,2019
113111,3,542,2019
113193,1,470,2019
113193,2,1919,2019
113193,3,902,2019
113218,1,52,2019
113218,2,118,2019
113218,3,735,2019
113236,1,438,2019
113236,2,1004,2019
113236,3,1320,2019
113236,5,9,2019
113333,1,591,2019
113333,2,84,2019
113333,3,1795,2019
113449,1,51,2019
113449,2,61,2019
113537,2,10,2019
113537,7,8,2019
113573,1,153,2019
113573,2,80,2019
113573,3,1020,2019
113582,5,32,2019
113634,1,629,2019
113634,2,531,2019
113634,3,1651,2019
113698,5,315,2019
113698,7,148,2019
113704,7,10,2019
113704,10,3,2019
113856,1,2085,2019
113856,2,1516,2019
113856,3,2001,2019
113980,1,447,2019
113980,2,951,2019
113980,3,2487,2019
114044,2,178,2019
114114,7,31,2019
114114,9,12,2019
114123,1,8,2019
114123,2,93,2019
114123,3,56,2019
114123,7,16,2019
114123,9,21,2019
114266,1,58,2019
114266,2,44,2019
114266,3,741,2019
114354,3,842,2019
114354,5,261,2019
114354,7,20,2019
114390,3,81,2019
114390,5,34,2019
114433,1,42,2019
114433,2,1,2019
114433,3,192,2019
114433,5,11,2019
114460,1,148,2019
114460,2,114,2019
114549,7,121,2019
114549,9,88,2019
114549,10,74,2019
114585,7,27,2019
114585,9,37,2019
114637,1,111,2019
114637,2,5,2019
114716,1,46,2019
114716,2,748,2019
114716,3,999,2019
114716,5,45,2019
114734,7,10,2019
114761,1,27,2019
114761,2,24,2019
114789,1,591,2019
114789,2,313,2019
114789,3,1808,2019
114813,5,1026,2019
114813,7,292,2019
114813,10,16,2019
114840,7,369,2019
114840,9,192,2019
114840,10,21,2019
114859,1,82,2019
114859,2,196,2019
114859,3,1986,2019
114938,1,642,2019
114938,3,564,2019
114947,1,255,2019
115001,1,236,2019
115001,2,142,2019
115001,3,938,2019
115010,1,49,2019
115010,2,124,2019
115010,3,102,2019
115083,1,4,2019
115083,3,4,2019
115083,5,113,2019
115083,7,597,2019
115083,9,109,2019
115083,10,37,2019
115126,1,794,2019
115126,2,2119,2019
115126,3,3284,2019
115214,7,17,2019
115214,9,17,2019
115296,1,167,2019
115296,2,1191,2019
115296,3,1643,2019
115357,1,14,2019
115357,2,49,2019
115393,1,52,2019
115393,2,785,2019
115393,3,1016,2019
115409,5,211,2019
115658,1,29,2019
115658,2,23,2019
115728,5,141,2019
115728,7,82,2019
115728,10,23,2019
115746,7,149,2019
115746,9,74,2019
115755,5,2002,2019
115755,7,223,2019
115773,3,36,2019
115773,5,92,2019
115773,7,38,2019
115773,9,16,2019
115861,1,259,2019
115861,2,667,2019
115861,3,1109,2019
115931,1,422,2019
115931,3,28,2019
116226,3,58,2019
116226,5,19,2019
116226,7,4,2019
116350,2,128,2019
116439,1,444,2019
116439,2,1389,2019
116439,3,1394,2019
116563,1,48,2019
116563,2,84,2019
116712,2,13,2019
116712,3,1,2019
116712,5,40,2019
116712,7,139,2019
116712,9,40,2019
116712,10,18,2019
116846,5,14,2019
116846,7,36,2019
117052,1,566,2019
117052,2,148,2019
117052,3,934,2019
117104,3,21,2019
117104,5,93,2019
117104,7,31,2019
117140,3,33,2019
117140,5,1300,2019
117140,7,951,2019
117140,9,131,2019
117168,2,4,2019
117168,5,108,2019
117168,7,18,2019
117168,10,5,2019
117195,1,1,2019
117195,2,45,2019
117195,3,166,2019
117238,1,36,2019
117238,2,58,2019
117247,1,135,2019
117247,2,172,2019
117247,3,551,2019
117274,1,7,2019
117274,2,126,2019
117274,3,167,2019
117520,9,184,2019
117548,9,46,2019
117557,2,1,2019
117557,5,12,2019
117557,7,110,2019
117575,3,3,2019
117575,5,6,2019
117575,7,32,2019
117575,9,10,2019
117627,2,47,2019
117627,5,322,2019
117627,7,135,2019
117627,9,10,2019
117627,10,26,2019
117636,1,30,2019
117636,2,22,2019
117636,3,88,2019
117636,5,347,2019
117636,7,430,2019
117636,9,595,2019
117636,10,38,2019
117645,1,466,2019
117645,2,1360,2019
117645,3,2154,2019
117672,1,84,2019
117672,5,6,2019
117672,7,28,2019
117672,9,95,2019
117690,1,58,2019
117690,2,547,2019
117690,3,855,2019
117706,1,231,2019
117706,2,1318,2019
117706,3,1558,2019
117715,1,57,2019
117715,2,266,2019
117715,3,467,2019
117724,1,290,2019
