UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
100654,5,R,511,R,184,R,327,R,2,R,2,R,431,R,11,R,0,R,20,R,10,R,24,R,11,Z,0,R,417,R,88,R,6,Z,0
100654,7,R,217,R,55,R,162,R,1,R,1,R,137,R,1,R,0,R,5,R,1,R,59,R,12,Z,0,R,52,R,137,R,28,Z,0
100654,9,R,3,R,3,R,0,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,R,3,Z,0,Z,0
100663,2,R,56,R,24,R,32,R,0,R,2,R,12,R,2,R,0,R,36,R,3,R,0,R,1,R,0,R,39,R,16,R,1,R,0
100663,5,R,2897,R,1067,R,1830,R,4,R,220,R,620,R,178,R,2,R,1663,R,118,R,11,R,81,R,0,R,2236,R,539,R,122,R,0
100663,7,R,2664,R,934,R,1730,R,5,R,141,R,435,R,57,R,1,R,1474,R,46,R,155,R,350,R,0,R,606,R,1701,R,357,R,0
100663,9,R,692,R,257,R,435,R,2,R,71,R,80,R,34,R,0,R,423,R,16,R,20,R,46,R,0,R,5,R,578,R,109,R,0
100663,10,R,267,R,64,R,203,R,1,R,8,R,85,R,4,R,0,R,139,R,5,R,9,R,16,R,0,R,23,R,160,R,84,R,0
100663,12,R,35,R,12,R,23,R,0,R,2,R,10,R,1,R,0,R,20,R,1,R,1,R,0,R,0,R,21,R,10,R,4,R,0
100690,3,R,27,R,3,R,24,Z,0,Z,0,R,22,Z,0,Z,0,R,4,Z,0,R,1,Z,0,Z,0,R,4,R,14,R,9,Z,0
100690,5,R,40,R,23,R,17,Z,0,Z,0,R,21,R,3,Z,0,R,15,Z,0,R,1,Z,0,Z,0,R,4,R,19,R,17,Z,0
100690,7,R,87,R,44,R,43,Z,0,Z,0,R,43,R,3,Z,0,R,34,Z,0,R,7,Z,0,Z,0,Z,0,R,33,R,54,Z,0
100690,9,R,17,R,7,R,10,Z,0,Z,0,R,8,Z,0,Z,0,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,15,Z,0
100706,5,R,1593,R,897,R,696,R,15,R,69,R,106,R,85,R,1,R,1169,R,66,R,42,R,40,R,0,R,1228,R,319,R,46,R,0
100706,7,R,612,R,282,R,330,R,3,R,20,R,50,R,17,R,2,R,391,R,7,R,64,R,58,R,0,R,134,R,403,R,75,R,0
100706,9,R,63,R,18,R,45,R,0,R,0,R,11,R,2,R,0,R,30,R,0,R,5,R,15,R,0,R,0,R,33,R,30,R,0
100706,10,R,31,R,6,R,25,R,0,R,0,R,5,R,0,R,0,R,23,R,1,R,2,R,0,R,0,R,7,R,15,R,9,R,0
100706,12,R,9,R,2,R,7,R,0,R,1,R,1,R,1,R,0,R,5,R,0,R,1,R,0,R,0,R,7,R,2,R,0,R,0
100724,5,R,471,R,162,R,309,R,1,R,1,R,429,R,9,R,0,R,8,R,10,R,0,R,13,R,0,R,366,R,93,R,12,R,0
100724,7,R,100,R,26,R,74,R,0,R,1,R,68,R,0,R,0,R,25,R,2,R,3,R,1,R,0,R,12,R,78,R,10,R,0
100724,9,R,26,R,14,R,12,R,0,R,0,R,7,R,0,R,0,R,18,R,1,R,0,R,0,R,0,R,0,R,22,R,4,R,0
100724,10,R,1,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0
100751,2,R,5,R,4,R,1,R,0,R,1,R,0,R,0,R,0,R,4,R,0,R,0,R,0,R,0,R,4,R,1,R,0,R,0
100751,5,R,6409,R,2643,R,3766,R,32,R,87,R,566,R,292,R,2,R,5095,R,203,R,26,R,106,R,1,R,5739,R,512,R,155,R,2
100751,7,R,2146,R,798,R,1348,R,4,R,41,R,228,R,94,R,1,R,1578,R,61,R,24,R,115,R,0,R,1003,R,889,R,254,R,0
100751,9,R,436,R,193,R,243,R,1,R,7,R,51,R,18,R,0,R,250,R,13,R,9,R,87,R,0,R,46,R,311,R,79,R,0
100751,10,R,123,R,20,R,103,R,0,R,1,R,30,R,5,R,0,R,79,R,1,R,1,R,6,R,0,R,15,R,59,R,49,R,0
100760,2,R,73,R,13,R,60,R,2,R,0,R,9,R,1,R,0,R,60,R,0,R,0,R,1,R,0,R,35,R,32,R,6,R,0
100760,3,R,144,R,51,R,93,R,1,R,1,R,17,R,3,R,0,R,117,R,5,R,0,R,0,R,0,R,91,R,36,R,17,R,0
100760,12,R,90,R,36,R,54,R,0,R,0,R,18,R,1,R,0,R,66,R,2,R,2,R,1,R,0,R,69,R,18,R,3,R,0
100812,5,R,707,R,205,R,502,R,7,R,5,R,90,R,32,R,1,R,534,R,22,R,13,R,3,R,0,R,264,R,312,R,131,Z,0
100812,7,R,115,R,46,R,69,R,1,R,1,R,41,R,5,R,0,R,65,R,0,R,1,R,1,R,0,R,6,R,64,R,45,Z,0
100812,10,R,3,R,2,R,1,R,1,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,3,R,0,Z,0
100812,12,R,19,R,3,R,16,R,0,R,1,R,6,R,0,R,0,R,12,R,0,R,0,R,0,R,0,R,2,R,11,R,6,Z,0
100830,5,R,704,R,240,R,464,R,2,R,19,R,285,R,7,R,0,R,324,R,15,R,12,R,40,R,0,R,451,R,212,R,41,R,0
100830,7,R,512,R,286,R,226,R,2,R,6,R,83,R,4,R,0,R,119,R,4,R,10,R,284,R,0,R,152,R,310,R,50,R,0
100830,9,R,3,R,0,R,3,R,0,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3,R,0
100830,10,R,40,R,13,R,27,R,0,R,0,R,15,R,1,R,0,R,22,R,0,R,1,R,1,R,0,R,0,R,24,R,16,R,0
100830,12,R,4,R,1,R,3,Z,0,Z,0,R,2,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,R,1,R,2,R,1,Z,0
