UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
217882,9,R,310,R,152,R,158,R,0,R,0,R,21,R,8,R,0,R,158,R,6,R,13,R,104,R,0,R,1,R,260,R,49,R,0
217882,10,R,164,R,57,R,107,R,1,R,1,R,18,R,11,R,0,R,115,R,5,R,4,R,9,R,0,R,67,R,79,R,18,R,0
217882,12,R,245,R,138,R,107,R,0,R,2,R,5,R,16,R,1,R,202,R,11,R,6,R,2,R,0,R,234,R,9,R,2,R,0
217891,3,R,9,R,1,R,8,Z,0,Z,0,R,9,R,0,Z,0,R,0,Z,0,Z,0,Z,0,R,1,R,5,R,0,R,3,Z,0
217891,5,R,11,R,3,R,8,Z,0,Z,0,R,11,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0,R,5,R,1,R,5,Z,0
217907,5,R,170,R,64,R,106,R,1,R,0,R,42,R,4,R,0,R,99,R,0,R,12,R,12,R,0,R,140,R,22,R,8,R,0
217907,7,R,31,R,11,R,20,R,0,R,2,R,5,R,0,R,0,R,22,R,0,R,2,R,0,R,0,R,10,R,10,R,11,R,0
217925,2,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0,R,0,R,1,R,0
217925,3,R,14,R,9,R,5,R,0,R,0,R,3,R,0,R,0,R,11,R,0,R,0,R,0,R,0,R,2,R,3,R,9,R,0
217925,5,R,139,R,70,R,69,R,0,R,7,R,22,R,5,R,0,R,81,R,2,R,13,R,9,R,0,R,89,R,24,R,26,R,0
217925,7,R,292,R,105,R,187,R,0,R,68,R,31,R,3,R,0,R,66,R,3,R,12,R,109,R,0,R,31,R,154,R,107,R,0
217925,9,R,101,R,58,R,43,R,0,R,2,R,28,R,0,R,0,R,42,R,1,R,14,R,14,R,0,R,0,R,26,R,75,R,0
217925,10,R,10,R,4,R,6,R,0,R,0,R,1,R,0,R,0,R,4,R,0,R,0,R,5,R,0,R,0,R,2,R,8,R,0
217934,5,R,245,R,23,R,222,R,1,R,4,R,71,R,24,R,0,R,109,R,1,R,35,R,0,Z,0,R,84,R,104,R,57,Z,0
217934,7,R,176,R,25,R,151,R,3,R,0,R,40,R,5,R,1,R,120,R,0,R,6,R,1,Z,0,R,9,R,109,R,58,Z,0
