UNITID,AWLEVELC,CSTOTLT,YEAR
105206,02,270,2019
105206,03,322,2019
105215,02,533,2019
105297,01,17,2019
105297,02,2,2019
105297,03,122,2019
105297,05,41,2019
105330,01,453,2019
105330,02,51,2019
105330,05,5975,2019
105330,07,1248,2019
105330,09,194,2019
105330,10,129,2019
105349,01,355,2019
105349,02,85,2019
105349,03,179,2019
105367,05,122,2019
105367,07,117,2019
105428,01,203,2019
105428,02,801,2019
105428,03,1035,2019
105525,01,1185,2019
105525,02,1753,2019
105525,03,2102,2019
105534,01,207,2019
105534,02,389,2019
105534,03,419,2019
105534,05,332,2019
105543,01,91,2019
105543,02,266,2019
105543,03,110,2019
105589,05,104,2019
105589,07,86,2019
105589,09,9,2019
105589,10,16,2019
105659,01,131,2019
105659,02,497,2019
105659,03,46,2019
105668,01,2554,2019
105668,02,881,2019
105668,03,669,2019
105677,01,34,2019
105747,01,86,2019
105747,02,576,2019
105747,03,841,2019
105792,01,63,2019
105792,02,339,2019
105792,03,371,2019
105899,03,2,2019
105899,05,137,2019
106041,02,240,2019
106041,03,830,2019
106111,01,1,2019
106111,02,42,2019
106148,01,719,2019
106148,02,342,2019
106148,03,534,2019
106245,01,25,2019
106245,02,5,2019
106245,03,400,2019
106245,05,1260,2019
106245,07,519,2019
106245,09,160,2019
106245,10,140,2019
106263,02,1,2019
106263,03,56,2019
106263,05,245,2019
106263,07,224,2019
106263,09,327,2019
106263,10,38,2019
106306,03,18,2019
106306,05,22,2019
106315,01,51,2019
106315,02,15,2019
106324,01,4,2019
106324,02,11,2019
106342,05,124,2019
106351,01,9,2019
106351,02,26,2019
106360,02,15,2019
106397,01,5,2019
106397,05,4834,2019
106397,07,1102,2019
106397,09,331,2019
106397,10,198,2019
106412,03,3,2019
106412,05,433,2019
106412,07,25,2019
106412,09,1,2019
106449,01,270,2019
106449,02,477,2019
106449,03,527,2019
106458,01,9,2019
106458,03,539,2019
106458,05,1805,2019
106458,07,1908,2019
106458,09,65,2019
106458,10,637,2019
106467,01,896,2019
106467,02,230,2019
106467,03,1022,2019
106467,05,1281,2019
106467,07,294,2019
106467,09,21,2019
106467,10,50,2019
106485,01,288,2019
106485,02,153,2019
106485,03,379,2019
106485,05,429,2019
106485,07,135,2019
106494,01,1,2019
106494,02,18,2019
106546,02,152,2019
106546,03,265,2019
106625,01,227,2019
106625,02,110,2019
106625,03,199,2019
106704,03,71,2019
106704,05,1741,2019
106704,07,528,2019
106704,09,66,2019
106704,10,52,2019
106713,03,9,2019
106713,05,124,2019
106795,01,173,2019
106795,02,225,2019
106795,03,129,2019
106810,03,10,2019
106810,05,14,2019
106883,01,125,2019
106883,02,230,2019
106883,03,117,2019
106892,01,219,2019
106908,01,5,2019
106908,02,218,2019
106980,01,101,2019
106980,02,251,2019
106980,03,296,2019
106999,01,239,2019
106999,02,125,2019
106999,03,202,2019
107044,05,841,2019
107044,07,278,2019
107044,09,89,2019
107071,01,9,2019
107071,03,8,2019
107071,05,534,2019
107071,07,139,2019
107071,10,43,2019
107080,05,310,2019
107080,07,5,2019
107099,01,2,2019
107099,02,15,2019
107123,03,37,2019
107141,05,437,2019
107141,07,207,2019
107220,01,38,2019
107220,02,112,2019
107293,01,18,2019
107293,02,16,2019
107318,01,265,2019
107318,02,101,2019
107318,03,126,2019
107327,01,163,2019
107327,02,129,2019
107327,03,164,2019
107442,02,21,2019
107460,01,212,2019
107460,02,117,2019
107460,03,276,2019
107488,01,37,2019
107488,02,117,2019
107512,03,16,2019
107512,05,321,2019
107521,01,301,2019
107521,02,166,2019
107521,03,108,2019
107549,01,195,2019
107549,02,263,2019
107549,03,183,2019
107558,05,147,2019
107585,01,92,2019
107585,02,439,2019
107585,03,386,2019
107600,05,81,2019
107619,01,217,2019
107619,02,87,2019
107619,03,131,2019
107637,01,86,2019
107637,02,116,2019
107637,03,164,2019
107655,02,18,2019
107664,01,243,2019
107664,02,502,2019
107664,03,725,2019
107725,01,284,2019
107725,02,269,2019
107725,03,225,2019
107743,01,96,2019
107743,02,75,2019
107743,03,129,2019
107789,02,65,2019
107831,01,4,2019
107831,02,26,2019
107840,03,36,2019
107877,03,1,2019
107877,05,71,2019
107877,07,5,2019
107974,01,215,2019
107974,02,312,2019
107974,03,162,2019
107983,03,375,2019
107983,05,481,2019
107983,07,372,2019
107983,10,8,2019
107992,01,408,2019
107992,02,278,2019
107992,03,136,2019
108065,02,5,2019
108092,01,291,2019
108092,02,129,2019
108092,03,280,2019
108092,05,826,2019
108092,07,5,2019
108232,03,152,2019
108232,05,963,2019
108232,07,1256,2019
108269,07,12,2019
108348,02,37,2019
108649,01,44,2019
108649,02,37,2019
108667,01,38,2019
108667,02,346,2019
108667,03,282,2019
108807,01,502,2019
108807,02,699,2019
108807,03,1065,2019
108852,02,23,2019
108852,03,128,2019
108861,07,8,2019
108861,09,4,2019
108870,07,114,2019
108870,10,9,2019
108977,01,5,2019
108977,02,59,2019
109040,01,97,2019
109040,02,590,2019
109040,03,116,2019
109086,01,53,2019
109086,07,13,2019
109208,01,1434,2019
109208,02,1022,2019
109208,03,2042,2019
109350,01,337,2019
109350,02,896,2019
109350,03,1365,2019
109350,05,9,2019
109651,05,439,2019
109651,07,67,2019
109721,02,259,2019
109730,01,102,2019
109785,01,1,2019
109785,05,1622,2019
109785,07,1229,2019
109785,09,137,2019
109785,10,231,2019
109819,01,865,2019
109819,02,1626,2019
109819,03,1909,2019
109819,05,12,2019
109907,01,87,2019
109907,03,403,2019
109934,02,108,2019
110060,01,3,2019
110060,05,41,2019
110060,07,36,2019
110097,05,898,2019
110097,07,398,2019
110097,09,67,2019
110097,10,39,2019
110194,02,15,2019
110219,02,192,2019
110219,03,250,2019
110219,05,62,2019
110219,07,7,2019
110246,01,848,2019
110246,02,395,2019
110246,03,1219,2019
110316,05,39,2019
110316,07,234,2019
110316,09,118,2019
110316,10,3,2019
110334,01,190,2019
110334,02,122,2019
110334,03,1140,2019
110361,05,1618,2019
110361,07,1110,2019
110361,09,17,2019
110370,05,294,2019
110370,07,189,2019
110398,07,37,2019
110398,09,309,2019
110404,05,241,2019
110404,07,139,2019
110404,09,207,2019
110413,05,797,2019
110413,07,505,2019
110413,09,26,2019
110413,10,7,2019
110422,05,5151,2019
110422,07,530,2019
110422,10,3,2019
110468,01,364,2019
110468,02,71,2019
110468,05,67,2019
110468,07,710,2019
110468,09,308,2019
110468,10,73,2019
110486,05,2129,2019
110486,07,418,2019
110486,09,1,2019
110495,05,2299,2019
110495,07,295,2019
110495,09,5,2019
110510,05,4252,2019
110510,07,763,2019
110510,09,17,2019
110529,05,4796,2019
110529,07,375,2019
110529,09,14,2019
110538,05,4184,2019
110538,07,275,2019
110547,05,3165,2019
110547,07,768,2019
110556,05,4849,2019
110556,07,932,2019
110556,09,96,2019
110556,10,11,2019
110565,05,9661,2019
110565,07,1867,2019
110565,09,57,2019
110565,10,88,2019
110574,05,3151,2019
110574,07,1150,2019
110574,09,3,2019
110583,05,8572,2019
110583,07,1817,2019
110583,09,47,2019
110592,05,5739,2019
110592,07,1211,2019
110592,09,17,2019
110592,10,125,2019
110608,05,8866,2019
110608,07,1695,2019
110608,09,36,2019
110608,10,141,2019
110617,05,7310,2019
110617,07,788,2019
110617,09,48,2019
110617,10,51,2019
110635,05,8506,2019
110635,07,3238,2019
110635,09,1272,2019
110635,10,152,2019
110644,05,7773,2019
110644,07,1288,2019
110644,09,929,2019
110644,10,11,2019
110653,05,7549,2019
110653,07,1618,2019
110653,09,657,2019
110653,10,125,2019
110662,05,8651,2019
110662,07,3550,2019
110662,09,1309,2019
110662,10,1,2019
110671,05,4496,2019
110671,07,706,2019
110671,09,332,2019
110680,05,7609,2019
110680,07,1965,2019
110680,09,710,2019
110699,07,301,2019
110699,09,563,2019
110699,10,49,2019
110705,05,5838,2019
110705,07,541,2019
110705,09,327,2019
110705,10,74,2019
110714,05,4295,2019
110714,07,430,2019
110714,09,192,2019
110714,10,10,2019
110778,05,4,2019
110778,07,349,2019
110778,09,13,2019
110875,01,39,2019
110875,02,10,2019
110918,03,1,2019
111045,07,11,2019
111045,09,3,2019
111054,01,26,2019
111054,02,91,2019
111081,05,219,2019
111081,07,198,2019
111188,05,256,2019
111188,07,17,2019
111391,07,100,2019
111391,09,211,2019
111434,01,125,2019
111434,02,127,2019
111434,03,394,2019
111461,01,547,2019
111461,02,1012,2019
111461,03,2045,2019
111513,01,97,2019
111513,02,49,2019
111638,03,60,2019
111708,02,102,2019
111717,01,24,2019
111717,02,174,2019
111726,01,68,2019
111726,02,164,2019
111744,01,29,2019
111744,02,77,2019
111762,01,43,2019
111762,02,21,2019
111799,01,10,2019
111799,02,115,2019
111887,01,1812,2019
111887,02,261,2019
111887,03,1912,2019
111896,01,108,2019
111896,02,108,2019
111896,03,294,2019
111920,01,244,2019
111920,02,502,2019
111920,03,1005,2019
111939,01,338,2019
111939,02,1340,2019
111939,03,2311,2019
111948,01,16,2019
111948,05,1534,2019
111948,07,577,2019
111948,09,348,2019
111966,03,28,2019
111966,05,24,2019
111966,07,207,2019
111966,10,44,2019
112075,05,544,2019
112075,07,1242,2019
112075,09,24,2019
112075,10,26,2019
112084,03,5,2019
112084,05,140,2019
112084,07,61,2019
112084,10,3,2019
112127,07,22,2019
112127,10,9,2019
112172,01,543,2019
112172,02,1348,2019
112172,03,1357,2019
112181,01,36,2019
112181,02,39,2019
112190,01,1210,2019
112190,02,701,2019
112190,03,1298,2019
112251,07,348,2019
112251,09,154,2019
112251,10,37,2019
112260,05,327,2019
112260,07,12,2019
112288,01,209,2019
112288,02,3,2019
112367,01,293,2019
112367,02,52,2019
112385,01,603,2019
112385,02,73,2019
112385,03,1461,2019
112394,05,115,2019
112455,01,35,2019
112455,02,22,2019
112525,07,234,2019
112525,09,828,2019
112525,10,41,2019
112561,01,101,2019
112561,02,20,2019
112561,03,211,2019
112570,03,9,2019
112570,05,86,2019
112686,01,91,2019
112686,02,91,2019
112686,03,497,2019
112826,01,327,2019
112826,02,60,2019
112826,03,586,2019
113096,01,215,2019
113096,02,80,2019
113096,03,831,2019
113111,01,270,2019
113111,02,289,2019
113111,03,542,2019
113193,01,470,2019
113193,02,1919,2019
113193,03,902,2019
113218,01,52,2019
113218,02,118,2019
113218,03,735,2019
113236,01,438,2019
113236,02,1004,2019
113236,03,1320,2019
113236,05,9,2019
113333,01,591,2019
113333,02,84,2019
113333,03,1795,2019
113449,01,51,2019
113449,02,61,2019
113537,02,10,2019
113537,07,8,2019
113573,01,153,2019
113573,02,80,2019
113573,03,1020,2019
113582,05,32,2019
113634,01,629,2019
113634,02,531,2019
113634,03,1651,2019
113698,05,315,2019
113698,07,148,2019
113704,07,10,2019
113704,10,3,2019
113856,01,2085,2019
113856,02,1516,2019
113856,03,2001,2019
113980,01,447,2019
113980,02,951,2019
113980,03,2487,2019
114044,02,178,2019
114114,07,31,2019
114114,09,12,2019
114123,01,8,2019
114123,02,93,2019
114123,03,56,2019
114123,07,16,2019
114123,09,21,2019
114266,01,58,2019
114266,02,44,2019
114266,03,741,2019
114354,03,842,2019
114354,05,261,2019
114354,07,20,2019
114390,03,81,2019
114390,05,34,2019
114433,01,42,2019
114433,02,1,2019
114433,03,192,2019
114433,05,11,2019
114460,01,148,2019
114460,02,114,2019
114549,07,121,2019
114549,09,88,2019
114549,10,74,2019
114585,07,27,2019
114585,09,37,2019
114637,01,111,2019
114637,02,5,2019
114716,01,46,2019
114716,02,748,2019
114716,03,999,2019
114716,05,45,2019
114734,07,10,2019
114761,01,27,2019
114761,02,24,2019
114789,01,591,2019
114789,02,313,2019
114789,03,1808,2019
114813,05,1026,2019
114813,07,292,2019
114813,10,16,2019
114840,07,369,2019
114840,09,192,2019
114840,10,21,2019
114859,01,82,2019
114859,02,196,2019
114859,03,1986,2019
114938,01,642,2019
114938,03,564,2019
114947,01,255,2019
115001,01,236,2019
115001,02,142,2019
115001,03,938,2019
115010,01,49,2019
115010,02,124,2019
115010,03,102,2019
115083,01,4,2019
115083,03,4,2019
115083,05,113,2019
115083,07,597,2019
115083,09,109,2019
115083,10,37,2019
115126,01,794,2019
115126,02,2119,2019
115126,03,3284,2019
115214,07,17,2019
115214,09,17,2019
115296,01,167,2019
115296,02,1191,2019
115296,03,1643,2019
115357,01,14,2019
115357,02,49,2019
115393,01,52,2019
115393,02,785,2019
115393,03,1016,2019
115409,05,211,2019
115658,01,29,2019
115658,02,23,2019
115728,05,141,2019
115728,07,82,2019
115728,10,23,2019
115746,07,149,2019
115746,09,74,2019
115755,05,2002,2019
115755,07,223,2019
115773,03,36,2019
115773,05,92,2019
115773,07,38,2019
115773,09,16,2019
115861,01,259,2019
115861,02,667,2019
115861,03,1109,2019
115931,01,422,2019
115931,03,28,2019
116226,03,58,2019
116226,05,19,2019
116226,07,4,2019
116350,02,128,2019
116439,01,444,2019
116439,02,1389,2019
116439,03,1394,2019
116563,01,48,2019
116563,02,84,2019
116712,02,13,2019
116712,03,1,2019
116712,05,40,2019
116712,07,139,2019
116712,09,40,2019
116712,10,18,2019
116846,05,14,2019
116846,07,36,2019
117052,01,566,2019
117052,02,148,2019
117052,03,934,2019
117104,03,21,2019
117104,05,93,2019
117104,07,31,2019
117140,03,33,2019
117140,05,1300,2019
117140,07,951,2019
117140,09,131,2019
117168,02,4,2019
117168,05,108,2019
117168,07,18,2019
117168,10,5,2019
117195,01,1,2019
117195,02,45,2019
117195,03,166,2019
117238,01,36,2019
117238,02,58,2019
117247,01,135,2019
117247,02,172,2019
117247,03,551,2019
117274,01,7,2019
117274,02,126,2019
117274,03,167,2019
117520,09,184,2019
117548,09,46,2019
117557,02,1,2019
117557,05,12,2019
117557,07,110,2019
117575,03,3,2019
117575,05,6,2019
117575,07,32,2019
117575,09,10,2019
117627,02,47,2019
117627,05,322,2019
117627,07,135,2019
117627,09,10,2019
117627,10,26,2019
117636,01,30,2019
117636,02,22,2019
117636,03,88,2019
117636,05,347,2019
117636,07,430,2019
117636,09,595,2019
117636,10,38,2019
117645,01,466,2019
117645,02,1360,2019
117645,03,2154,2019
117672,01,84,2019
117672,05,6,2019
117672,07,28,2019
